Round,Accuracy,Loss
1,0.5293748036443606,1.632061529904604
2,0.586239396795476,1.3075949251651764
3,0.6666666666666666,1.3138082660734653
4,0.649387370405278,1.0935069397091866
5,0.6839459629280553,1.0828915517777205
6,0.6754633993088281,1.0500003527849913
7,0.7009110901665095,0.9604897480458021
8,0.7238454288407163,1.0435900464653969
9,0.704995287464656,0.9516066238284111
10,0.7200754005655042,0.9086259379982948
11,0.7357838517122212,0.970527121797204
12,0.6943135406848885,0.9279577694833279
13,0.7596606974552309,0.8538977913558483
14,0.7452089224002514,0.8475953796878457
15,0.7628023876845743,0.831695637665689
16,0.7436380772855796,0.7476375382393599
17,0.7753691486019478,0.8068976067006588
18,0.7800816839459629,0.746218022890389
19,0.7508639648130694,0.7528468919917941
20,0.7898209236569275,0.7569845030084252
21,0.7967326421614829,0.7319912286475301
22,0.7898209236569275,0.7470023995265365
23,0.8020735155513666,0.6821375992149115
24,0.8118127552623311,0.6667008148506284
25,0.7360980207351555,0.6891058040782809
26,0.8121269242852655,0.5879769995808601
27,0.7951617970468112,0.6264972733333707
28,0.807100219918316,0.6224703211337328
29,0.8014451775054979,0.6653426578268409
30,0.8215519949732957,0.5661284010857344
31,0.725416273955388,0.49031823920086026
32,0.7992459943449576,0.6107611851766706
33,0.7693999371661954,0.5697445319965482
34,0.8146402764687402,0.5798010318540037
35,0.8212378259503613,0.5224617724306881
36,0.8312912346842601,0.5587484380230308
37,0.8250078542255733,0.5799857969395816
38,0.8366321080741439,0.5375989587046206
39,0.8664781652529061,0.4618567517027259
40,0.8045868677348413,0.47431239672005177
